,song_id,input,reference,sm_baseline_output,sm_finetuned_output,lg_baseline_output,lg_finetuned_output
0,6728186,"Pick one of my random memories
I can precisely live again that moment
It's hard sometimes not to be able to forget
I'd prefer to vanish some flashbacks
Don't know why it has to be so vivid
It can play over and over in my head
I want to switch off the button
And never relive it again",I need to live and forget,pick one of my random memories I can precisely live again that moment It's hard sometimes not to,"I'm a fucker, I'm a",pick one of my random memories i can precisely live again that moment . i'd,It's hard sometimes not to be able to forget
1,5057485,"It's October
The leaves are falling down, falling down
Getting colder
I can feel it all around, it's all around
Just think of all the things I do for you
Not a thing that I could say I wouldn't do
Could you please believe just how it makes me feel?
Are you really there, is this even real?",Listen to me,"it's October The leaves are falling down, falling down Getting colder I can feel it","I can feel it all around, it's all around","it's October The leaves are falling down, falling down Getting colder . i","Is this just a dream, is this just a dream?"
2,7128594,"Well, you don't like my smoking
You don't like my drinking
You don't always understand my simple way of thinking
But there's some kinda magic
We fit like whiskey and Coke
And once I got a taste of you, you had me on the ropes
I like a lot, you like a little
Let's take a shot and we can meet in the middle","Try a tiny bit of crazy, I'll try to toe the line",you don't like my smoking You don't like my drinking You don't always understand,"You're a little girl, you're a little girl","i like a lot, you like a little Let's take a shot and",Let's take a shot and we can meet in the middle
3,194843,"Completely complacent
So excitedly vacant
I keep waiting for something to give
But that something is always me
You consume what your able
I get crumbs from your table
You call this comfortably normal
But i call it getting by",Baby its a fine line,i keep waiting for something to give But that something is always me You consume what your able,"I'm a fucker, i'm",completely complacent so excitedly vacant i keep waiting for something to give but that something,You call this comfortably normal
4,7764202,"Feels like home doesn’t look right
The truth seems wrong in the right light
Or maybe everyone and everything has changed
Too long at the bottom of a quick fix
I put one foot forward but it don’t stick
Ain’t it funny how things you tell yourself
Remain the same when you’re without
Can you forgive me love, forgive me love","Forgive me love, forgive me love","can you forgive me love, forgive me love, forgive me love, forgive me love, forgive me","Can you forgive me love, forgive me love",ain’t it funny how things you tell yourself Remain the same when you’re,"Can you forgive me love, forgive me love"
5,3592481,"God was still in school
Micky Thompson tires were cool
Sitting high in a CJ 5 made you want to light the fuse
On those hometown Friday nights
You can outrun red lights
Racing trains and watching planes for time used to fly
When good old days were young
And the nights went on forever",Guitars and peers and everclear and cold beer went together,Micky Thompson tires were cool Sitting high in a CJ 5 made you want to light,And the nights went on forever,the good old days were still in school . the nights went on forever . the nights went,When the sun was shining and the moon was shining
6,4705645,"Tell me something, girl
Are  you happy in this modern world?
Or  do you need more
Is there somethin' else you're searching for?
But I'm fallin'
In  all the good times I find myself longing
For  change
And in the bad times, I fear myself","Yeah,  eh, eh","in all the good times, I fear myself longing for change And in the bad times, I",I'm fallin',i'm fallin' in all the good times i find myself longing For change,But I'm fallin'
7,3258169,"Ten thousand miles on gravel roads
Hitchhiked my way through Mexico
Red eyes straight through twenty time zones
All alone
Just to feel you breathe
Just to see you smile
Just to hold your hand
For a little while",I'll go to the ends of the earth for you,ten thousand miles on gravel roads Hitchhiked my way through Mexico Red eyes straight through,Just to see you smile,ten thousand miles on gravel roads hitchhiked my way through mexico,"I'm a wanderer, wanderer, wanderer"
8,7354959,"Alright, we'll do that one for you, out of all the wars that have been I think that this is about the only thing that ever gave me any of them, it's any good, and it's a song, that was handed down to me
The years creep slowly by, Lorena
Snow is on the grass again
The sun is sleek and low down the sky, Lorena
Frost is where the flowers have been
The music sad and lone, Lorena
Happy sounds have left the day
The banjo's softly played, Lorena",Where once they rang so loud and gay,"the years creep slowly by, Lorena Snow is on the grass again The sun is sleek and low down the sky, Lorena Frost is where the flowers have been The music sad and lone, Lor","The music sad and low down the sky, Lorena","Lorena snow is about the only thing that ever gave me any of them, it's any good, and it's a song, that was handed down to me . the song is about the","Lorena, Lorena, Lorena, Lorena"
9,7189650,"I left home for Bluefield, West Virginia
And worked my way up to Ohio
Settled for a spell in Cincinnati
Then hitched a ride on a paddleboat
Took the Delta Queen on down the river
Rode the Mississippi for a while
Got off at the gateway in St. Louis
And then I started countin' up the miles",So I'm thumbin' my way through ol' Kentucky,"I left home for bluefield, west Virginia and worked my way up to Ohio Settled for",I'm a fuckin' fuckin',"i left home for bluefield, west Virginia And worked my way up to ohi","I'd been to Kentucky, Tennessee, Tennessee, Tennessee, Kentucky,"
